"denominazione_regione","Capienza","data"
"Abruzzo",115,2020-02-24
"Basilicata",49,2020-02-24
"Calabria",107,2020-02-24
"Campania",586,2020-02-24
"Emilia-Romagna",629,2020-02-24
"Friuli Venezia Giulia",127,2020-02-24
"Lazio",675,2020-02-24
"Liguria",186,2020-02-24
"Lombardia",1408,2020-02-24
"Marche",193,2020-02-24
"Molise",31,2020-02-24
"Piemonte",560,2020-02-24
"Puglia",289,2020-02-24
"Sardegna",123,2020-02-24
"Sicilia",392,2020-02-24
"Toscana",464,2020-02-24
"Trentino-Alto Adige",157,2020-02-24
"Umbria",70,2020-02-24
"Valle d'Aosta",45,2020-02-24
"Veneto",938,2020-02-24
"Abruzzo",115,2020-02-25
"Basilicata",49,2020-02-25
"Calabria",107,2020-02-25
"Campania",586,2020-02-25
"Emilia-Romagna",629,2020-02-25
"Friuli Venezia Giulia",127,2020-02-25
"Lazio",675,2020-02-25
"Liguria",186,2020-02-25
"Lombardia",1408,2020-02-25
"Marche",193,2020-02-25
"Molise",31,2020-02-25
"Piemonte",560,2020-02-25
"Puglia",289,2020-02-25
"Sardegna",123,2020-02-25
"Sicilia",392,2020-02-25
"Toscana",464,2020-02-25
"Trentino-Alto Adige",157,2020-02-25
"Umbria",70,2020-02-25
"Valle d'Aosta",45,2020-02-25
"Veneto",938,2020-02-25
"Abruzzo",115,2020-02-26
"Basilicata",49,2020-02-26
"Calabria",107,2020-02-26
"Campania",586,2020-02-26
"Emilia-Romagna",629,2020-02-26
"Friuli Venezia Giulia",127,2020-02-26
"Lazio",675,2020-02-26
"Liguria",186,2020-02-26
"Lombardia",1408,2020-02-26
"Marche",193,2020-02-26
"Molise",31,2020-02-26
"Piemonte",560,2020-02-26
"Puglia",289,2020-02-26
"Sardegna",123,2020-02-26
"Sicilia",392,2020-02-26
"Toscana",464,2020-02-26
"Trentino-Alto Adige",157,2020-02-26
"Umbria",70,2020-02-26
"Valle d'Aosta",45,2020-02-26
"Veneto",938,2020-02-26
"Abruzzo",115,2020-02-27
"Basilicata",49,2020-02-27
"Calabria",107,2020-02-27
"Campania",586,2020-02-27
"Emilia-Romagna",629,2020-02-27
"Friuli Venezia Giulia",127,2020-02-27
